x,y
4.084432757565581440e-01,2.921075013690730415e-01
6.408832683573784106e-01,
6.377591425287770788e-01,
5.814256239750328348e-01,
7.727996956614244795e-01,7.879238962730836349e+00
3.509262014983655087e-01,
9.906300808530276170e-01,7.999633977136181961e+00
3.126652337309621110e-02,-1.341000481259018384e+00
6.391663602184829429e-01,7.557090547629770505e+00
6.056843505923921178e-01,6.987967894402332902e+00
3.029646445948808164e-01,-3.242724930152256491e-01
5.726782694603094193e-01,5.721378053831365662e+00
6.750996379704191641e-01,
8.945201976253471798e-01,
4.032121539113004971e-01,-1.008124287496547922e+00
9.409202186222735964e-01,7.032745323351644373e+00
6.409609156059121737e-01,
2.289579235472847252e-01,
9.615612222313846269e-01,9.034591649933014779e+00
6.064674602245241353e-01,6.637890763901551416e+00
4.668228193424336370e-01,7.586374138977722836e-01
3.539355574349495326e-01,
1.205004052684746085e-01,-8.301858890208455577e-01
6.756780294982975832e-01,
9.818767334440606787e-01,
8.182777526640880872e-01,
6.844701129827301944e-02,
4.116122068080652063e-02,
1.660770537834144189e-01,
6.464703214234377437e-01,6.411075332992669296e+00
8.026344855856226701e-02,-1.276446818877121192e+00
5.301335593706872906e-01,5.677485800444967090e+00
6.400222241391586575e-01,1.004435273881092172e+01
1.453356115608842591e-01,-1.499938214238126122e+00
3.206047376178177144e-01,
7.491553121952503336e-01,7.764674860393322220e+00
7.775972181056123311e-02,-2.154094367051643921e+00
6.846735752004038389e-01,
9.885201394995302149e-01,9.175082084065380172e+00
6.460715792354774223e-01,
1.852549182059523014e-01,5.684540493256045046e-01
8.503151129155291921e-01,
1.908117608674686494e-02,-4.684866478928224609e-01
7.490984910220981341e-01,
2.076779669870290057e-01,-1.326027168913220589e+00
6.771058514824166430e-01,4.614152691853093735e+00
2.314483015286233902e-01,
1.154968490369977507e-01,-1.725017647644823349e+00
7.217947308994558941e-01,
8.852000980152728848e-01,8.430319672561749300e+00
7.229610639560368757e-02,5.031265488196523528e-01
5.587901868132060246e-01,8.943423328770665037e+00
2.195720800700213804e-01,8.479833698364913630e-03
1.877819377230536269e-01,-1.025942855623611649e+00
6.316367886140341614e-01,6.796887485434518261e+00
6.758723540442779232e-01,9.054977601044360114e+00
7.301631370002485966e-01,
3.077181362970825562e-01,6.181807565173051966e-01
1.308606081747558658e-01,-1.090762186169288439e+00
5.751380184627642445e-01,
5.593488593469457815e-01,7.520821964087573974e+00
5.564823767532977028e-01,
7.747562704151511603e-01,
6.863463744798082855e-01,6.350126349390714964e+00
5.225406972150619112e-01,6.088853134979748560e+00
3.966294034976314276e-01,2.522283200162522832e-02
2.577303468285361276e-01,-1.603913054799464888e+00
7.464858177880919765e-01,9.738553044370593881e+00
4.922472886665926195e-01,1.807066251427306813e+00
7.411529280771221861e-01,6.593327797637357435e+00
9.621433872872710014e-01,
1.790201480204137718e-01,-1.162149076951036086e+00
2.255369997052611986e-01,-3.310867753452555462e-01
3.613091198221205502e-01,-2.106461298561153050e-01
1.158510391236691195e-01,
5.545023893521283664e-01,5.318518298987354065e+00
9.942881781079515591e-02,3.954146131983837797e-02
3.610609723645097358e-02,
3.128993576821830214e-01,-3.955708608250549929e-01
1.458554923816254290e-01,
5.940946452461428606e-01,
2.317279588183694949e-01,9.533521189458857847e-01
5.916416800797027475e-01,5.838014906688250960e+00
5.089202336743690047e-01,7.299161622834542840e+00
6.697795904052582516e-01,
8.615324062549686301e-01,
3.099346986238636914e-01,-3.607720374207179503e-02
3.626007990746473730e-01,-3.856396704288034272e-02
2.386226826387838340e-02,-1.398571538668669678e+00
7.271178059204846944e-01,
3.435404742901883024e-01,-2.206102735837041084e+00
2.126346799936743581e-01,
9.689994079998521803e-01,
9.334511138645648076e-01,
6.374480931416561802e-01,5.906345032914090964e+00
7.610116547701247791e-01,
6.647039212671835839e-01,6.438115396631771681e+00
6.613963513278902084e-01,8.850135976936396531e+00
2.086318267525723025e-01,-3.185852679353375905e-01
3.037697509041541455e-01,-8.003374646084888688e-01
4.736688448373759242e-01,-1.941228408138278905e+00
7.006403048178684312e-01,8.973159747798300501e+00
7.255484009779540333e-01,7.642104424098485005e+00
2.864019976498266562e-01,1.750496107398410661e+00
2.253473630200611977e-01,-6.882481736538332839e-01
9.432937657376139207e-02,-1.637095251390084050e+00
2.789673033067431307e-01,
2.737930402932394758e-01,
9.974582637560930332e-01,
4.558835854337532911e-01,1.228977660985010267e+00
