x,y
1.635299999999999948e-02,9.132500000000000062e-01
7.275700000000000500e-01,3.688600000000000212e-01
6.277000000000000357e-01,1.407700000000000062e-01
8.319999999999999618e-01,2.498499999999999888e-01
1.639200000000000101e-01,1.224699999999999900e+00
9.827000000000000179e-01,2.722800000000000220e-01
8.082500000000000240e-01,2.758499999999999841e-01
6.302799999999999514e-01,3.185600000000000098e-01
7.236299999999999955e-01,7.496400000000000285e-02
2.426500000000000046e-01,9.880700000000000038e-01
6.945099999999999607e-01,1.939800000000000135e-01
6.074899999999999745e-01,5.935300000000000020e-01
1.274300000000000085e-02,6.914099999999999691e-01
9.765200000000000546e-01,2.364100000000000090e-01
9.132900000000000462e-01,1.079800000000000065e-01
4.799599999999999977e-01,7.735600000000000254e-01
6.095199999999999507e-01,3.156200000000000117e-01
3.016199999999999992e-01,9.202799999999999869e-01
7.625199999999999756e-01,9.160899999999999599e-02
3.322599999999999998e-01,7.429299999999999793e-01
2.432600000000000040e-01,1.087199999999999944e+00
3.826100000000000056e-01,7.592900000000000205e-01
5.897199999999999664e-02,9.479899999999999993e-01
5.920100000000000362e-01,3.933599999999999874e-01
2.707899999999999752e-01,8.171399999999999775e-01
1.428000000000000103e-01,1.087299999999999933e+00
6.501299999999999857e-01,2.551399999999999779e-01
9.194200000000000150e-01,2.101000000000000090e-01
9.242299999999999960e-01,2.216700000000000059e-01
3.260700000000000265e-01,8.585599999999999898e-01
9.311599999999999877e-01,3.125800000000000245e-01
4.203899999999999859e-01,6.679199999999999582e-01
5.889799999999999480e-01,3.559499999999999886e-01
2.192999999999999949e-01,1.165200000000000014e+00
9.821900000000000075e-01,3.695399999999999796e-01
9.801800000000000512e-01,2.518699999999999828e-01
2.426099999999999923e-01,1.023200000000000109e+00
7.615699999999999692e-01,2.893800000000000261e-01
4.026300000000000018e-02,9.309899999999999842e-01
5.768499999999999739e-01,2.831899999999999973e-01
7.008299999999999530e-01,2.690000000000000169e-01
5.301799999999999846e-01,4.121000000000000218e-01
4.897599999999999731e-01,6.409799999999999942e-01
2.394399999999999862e-01,1.020000000000000018e+00
3.801499999999999879e-01,8.233399999999999608e-01
2.148700000000000054e-01,1.085099999999999953e+00
5.733800000000000008e-01,4.214300000000000268e-01
9.769400000000000306e-01,4.892699999999999827e-01
1.379499999999999893e-01,8.428499999999999881e-01
1.087000000000000050e-01,1.001900000000000013e+00
5.995000000000000329e-01,2.868499999999999939e-01
4.663499999999999868e-01,5.097599999999999909e-01
9.072799999999999754e-01,8.987299999999999456e-02
6.884900000000000464e-01,1.395000000000000129e-01
1.618599999999999900e-02,8.071199999999999486e-01
1.841599999999999904e-01,1.130800000000000027e+00
7.980099999999999971e-01,-8.472999999999999629e-03
8.908199999999999452e-01,1.320500000000000007e-01
2.855599999999999805e-01,9.491100000000000092e-01
7.987499999999999600e-01,1.733699999999999963e-01
8.761900000000000244e-01,3.040200000000000125e-01
1.892099999999999893e-01,9.575900000000000523e-01
4.003700000000000037e-01,7.986100000000000421e-01
6.988799999999999457e-01,2.948200000000000265e-01
6.508199999999999541e-01,1.186200000000000032e-01
1.341199999999999892e-01,1.256899999999999906e+00
7.149999999999999689e-01,2.027400000000000035e-01
9.013299999999999645e-01,2.118899999999999950e-01
6.467500000000000471e-01,2.403299999999999881e-01
1.473099999999999965e-01,1.099699999999999900e+00
3.206300000000000261e-01,9.785500000000000309e-01
4.832099999999999729e-01,5.850699999999999790e-01
7.887199999999999767e-01,1.237199999999999966e-01
9.593300000000000161e-01,4.681500000000000106e-01
4.773000000000000020e-01,7.636800000000000255e-01
5.064699999999999758e-01,6.962699999999999445e-01
5.812000000000000499e-01,3.717400000000000149e-01
7.570700000000000207e-01,3.031599999999999920e-02
7.826800000000000423e-01,2.152699999999999891e-01
2.237899999999999889e-01,1.054300000000000015e+00
1.575000000000000011e-01,1.045400000000000107e+00
5.862500000000000488e-01,4.279000000000000026e-01
5.190399999999999459e-01,6.183999999999999497e-01
8.477000000000000091e-01,7.920900000000000163e-02
5.579600000000000115e-01,4.545799999999999841e-01
2.564799999999999858e-01,9.348400000000000043e-01
5.237800000000000233e-01,6.382100000000000550e-01
2.546100000000000030e-01,1.226799999999999891e+00
1.405599999999999905e-01,1.059399999999999897e+00
2.991699999999999915e-02,7.803600000000000536e-01
6.913799999999999946e-01,1.923499999999999932e-01
5.725400000000000489e-01,4.625099999999999767e-01
5.295800000000000507e-01,6.036399999999999544e-01
1.944599999999999940e-01,9.289199999999999680e-01
4.531700000000000172e-01,6.905200000000000227e-01
2.094300000000000050e-01,8.733300000000000507e-01
4.773000000000000020e-01,6.164300000000000335e-01
7.245300000000000074e-01,3.006699999999999928e-01
3.887000000000000177e-02,7.928300000000000347e-01
6.284300000000000441e-01,3.040499999999999869e-01
