horsepower, highway MPG, price
1.110000000000000000e+02,2.700000000000000000e+01,9.310750991418681224e+03
1.110000000000000000e+02,2.700000000000000000e+01,2.384328332171893635e+04
1.540000000000000000e+02,2.600000000000000000e+01,3.746441991779442469e+04
1.020000000000000000e+02,3.000000000000000000e+01,8.707094661205987904e+02
1.150000000000000000e+02,2.200000000000000000e+01,1.763846748800121713e+04
1.100000000000000000e+02,2.500000000000000000e+01,1.895529447734661517e+04
1.100000000000000000e+02,2.500000000000000000e+01,2.933802649610847220e+04
1.100000000000000000e+02,2.500000000000000000e+01,2.599491874752452713e+04
1.400000000000000000e+02,2.000000000000000000e+01,1.532065009116091460e+04
1.600000000000000000e+02,2.200000000000000000e+01,8.527993033961731271e+03
1.010000000000000000e+02,2.900000000000000000e+01,1.577399845985263528e+04
1.010000000000000000e+02,2.900000000000000000e+01,3.012776536901946383e+04
1.210000000000000000e+02,2.800000000000000000e+01,3.196351448690744292e+04
1.210000000000000000e+02,2.800000000000000000e+01,2.549600889025541619e+04
1.210000000000000000e+02,2.500000000000000000e+01,3.016971743356125808e+04
1.820000000000000000e+02,2.200000000000000000e+01,1.707643173866556026e+04
1.820000000000000000e+02,2.200000000000000000e+01,3.757172309617942665e+04
1.820000000000000000e+02,2.000000000000000000e+01,4.265163818896483281e+04
4.800000000000000000e+01,5.300000000000000000e+01,5.053923866247179831e+03
7.000000000000000000e+01,4.300000000000000000e+01,1.048776183355656713e+03
7.000000000000000000e+01,4.300000000000000000e+01,1.166146052779430283e+04
6.800000000000000000e+01,4.100000000000000000e+01,8.838129245274182040e+02
6.800000000000000000e+01,3.800000000000000000e+01,1.594781687785450413e+04
1.020000000000000000e+02,3.000000000000000000e+01,2.395706294967579197e+03
6.800000000000000000e+01,3.800000000000000000e+01,1.167009926273048768e+04
6.800000000000000000e+01,3.800000000000000000e+01,1.357141117688423719e+03
6.800000000000000000e+01,3.800000000000000000e+01,2.819376021068803675e+04
1.020000000000000000e+02,3.000000000000000000e+01,1.772222493939471860e+03
8.800000000000000000e+01,3.000000000000000000e+01,2.502360485723842430e+04
1.450000000000000000e+02,2.400000000000000000e+01,1.182253265119651587e+04
5.800000000000000000e+01,5.400000000000000000e+01,5.963362610863765440e+03
7.600000000000000000e+01,3.800000000000000000e+01,7.511397193973250069e+03
6.000000000000000000e+01,4.200000000000000000e+01,7.124343243214688300e+03
7.600000000000000000e+01,3.400000000000000000e+01,1.143551505359530893e+03
7.600000000000000000e+01,3.400000000000000000e+01,1.522908578539724476e+04
7.600000000000000000e+01,3.400000000000000000e+01,1.929527298173105373e+04
7.600000000000000000e+01,3.400000000000000000e+01,1.766097149194819849e+03
8.600000000000000000e+01,3.300000000000000000e+01,2.048718585348252964e+04
8.600000000000000000e+01,3.300000000000000000e+01,1.113889380303662983e+04
8.600000000000000000e+01,3.300000000000000000e+01,2.627243737602881993e+03
8.600000000000000000e+01,3.300000000000000000e+01,8.307762505696114204e+02
1.010000000000000000e+02,2.800000000000000000e+01,1.851116306062525837e+03
1.000000000000000000e+02,3.100000000000000000e+01,7.292044994387069892e+02
7.800000000000000000e+01,2.900000000000000000e+01,9.865126792421997379e+03
7.000000000000000000e+01,4.300000000000000000e+01,8.407123025722492457e+03
7.000000000000000000e+01,4.300000000000000000e+01,2.123173313583297204e+04
9.000000000000000000e+01,2.900000000000000000e+01,2.144674737309509510e+04
1.760000000000000000e+02,1.900000000000000000e+01,1.588126827662055257e+04
1.760000000000000000e+02,1.900000000000000000e+01,1.361944245041373142e+04
2.620000000000000000e+02,1.700000000000000000e+01,1.432794117406007899e+03
6.800000000000000000e+01,3.100000000000000000e+01,7.752324045938099744e+02
6.800000000000000000e+01,3.800000000000000000e+01,1.753238391406256414e+04
6.800000000000000000e+01,3.800000000000000000e+01,1.777062197770922921e+03
6.800000000000000000e+01,3.800000000000000000e+01,1.107695391718996916e+03
6.800000000000000000e+01,3.800000000000000000e+01,4.327947063388020297e+02
1.010000000000000000e+02,2.300000000000000000e+01,1.258669456066790190e+04
1.010000000000000000e+02,2.300000000000000000e+01,3.017909931626961770e+04
1.010000000000000000e+02,2.300000000000000000e+01,2.085372561622421199e+04
1.350000000000000000e+02,2.300000000000000000e+01,2.435070229497342007e+04
8.400000000000000000e+01,3.200000000000000000e+01,1.571549365606712672e+04
8.400000000000000000e+01,3.200000000000000000e+01,1.000669402691990763e+04
8.400000000000000000e+01,3.200000000000000000e+01,1.391847729912740988e+03
8.400000000000000000e+01,3.200000000000000000e+01,8.551229838714369180e+03
6.400000000000000000e+01,4.200000000000000000e+01,2.629012265356760327e+04
8.400000000000000000e+01,3.200000000000000000e+01,1.026479908814578721e+03
1.200000000000000000e+02,2.700000000000000000e+01,2.996090924211921083e+04
7.200000000000000000e+01,3.900000000000000000e+01,1.380907329162183669e+04
1.230000000000000000e+02,2.500000000000000000e+01,3.597517541597151285e+04
1.230000000000000000e+02,2.500000000000000000e+01,3.951606738503594534e+04
1.230000000000000000e+02,2.500000000000000000e+01,2.478254203579797104e+04
1.230000000000000000e+02,2.500000000000000000e+01,4.043162400395410077e+04
1.550000000000000000e+02,1.800000000000000000e+01,2.440045176180269846e+04
1.550000000000000000e+02,1.800000000000000000e+01,3.298486131755439419e+04
1.840000000000000000e+02,1.600000000000000000e+01,3.698511693344198284e+04
1.840000000000000000e+02,1.600000000000000000e+01,3.694868810439416120e+04
1.750000000000000000e+02,2.400000000000000000e+01,1.074125976748004177e+04
6.800000000000000000e+01,4.100000000000000000e+01,6.248402498526968429e+02
6.800000000000000000e+01,3.800000000000000000e+01,1.673426185469475342e+02
6.800000000000000000e+01,3.800000000000000000e+01,1.724958950985088450e+03
1.020000000000000000e+02,3.000000000000000000e+01,2.580183715865156955e+03
1.160000000000000000e+02,3.000000000000000000e+01,7.538139676315964834e+02
8.800000000000000000e+01,3.200000000000000000e+01,1.276358429180890016e+04
1.450000000000000000e+02,2.400000000000000000e+01,5.155505757691615827e+02
1.450000000000000000e+02,2.400000000000000000e+01,1.477097393556263114e+03
1.450000000000000000e+02,2.400000000000000000e+01,1.809692970924570182e+04
8.800000000000000000e+01,3.200000000000000000e+01,7.886947933822814321e+02
8.800000000000000000e+01,3.200000000000000000e+01,1.451360588061587441e+04
