x1, x2, x3, x4, x5, y
5.348301204847887291e-01,2.335807040811344049e-01,4.474325231524488578e-01,9.671020731145555382e-01,1.587361290798988245e+00,4.471265173553566896e+00
9.404987889797145062e-01,9.746716051590793573e-01,7.320626015014786159e-01,7.953070535555769593e-01,2.652862957533947075e+00,5.377835278025100862e+00
1.065218185585757871e-01,6.606224615165392500e-01,8.030719674364033001e-01,9.825526531331517655e-01,2.139901162600503337e+00,4.708144834663716694e+00
1.465166460224431866e-02,5.139049700160194245e-01,9.334336428800742436e-01,5.005924717591542228e-01,1.739033899852336251e+00,4.032083022207024747e+00
8.519902229909123159e-01,7.375251801411715213e-01,7.293699895313089376e-01,8.174910639933155032e-01,2.392881480953231943e+00,5.116808445405545136e+00
5.657745406589357318e-01,3.327835187631908997e-01,4.781904918189223697e-01,7.787461304390009831e-01,1.595111546472790298e+00,4.387027435302002232e+00
3.178285486733978260e-02,4.588883546210997810e-01,8.950612830828529320e-01,5.438950044587071986e-01,1.690223684345003363e+00,4.011415880565556868e+00
1.590659677082304491e-01,8.326811622872503094e-01,2.676858331250058232e-01,8.188128910211905920e-01,1.715342712976321460e+00,4.406024239328458769e+00
3.608424630860153082e-01,5.870652243176306406e-01,5.571375343730700092e-02,1.276231672315317756e-01,8.940715689351522721e-01,3.447437721809754940e+00
1.803020157948248547e-01,2.098409920314393551e-01,2.531618712780457914e-01,4.369296622020664156e-01,8.446768117493569372e-01,3.478703582398257943e+00
4.145145257090816493e-01,4.238214728340642390e-01,7.007799731743680205e-02,1.291514563631657175e-01,7.727297008120076471e-01,3.362474157311162060e+00
7.241845600185339293e-01,8.775337936119281812e-01,6.593304252805545218e-01,4.569701324383493857e-01,2.141532950983330075e+00,4.690047961987057867e+00
1.305275866710191579e-01,1.476227310465172415e-02,9.660436572306208003e-01,3.411879812473301854e-01,1.224103193061500283e+00,3.549133765927404927e+00
5.988508982736837627e-01,8.352641352646484885e-01,1.466537241588369289e-01,5.411908829088142303e-01,1.623487085772222116e+00,4.363206013840975395e+00
9.823247334553918408e-01,4.404859752864613842e-01,7.933410457980033526e-01,8.191235694580156768e-01,2.230420135555678307e+00,5.025519967071692129e+00
2.423677812659342790e-01,1.134999088210166818e-01,6.408186863481364348e-01,8.352789012986282513e-01,1.424987799347380069e+00,4.103901505843692732e+00
7.316074294032708369e-01,3.185845146485266621e-02,4.910024837549262777e-01,9.004655026313198585e-01,1.487035414323877092e+00,4.404633528468518300e+00
6.872183273464074205e-01,6.274329154205138259e-02,7.166892108867959355e-01,2.869046486452243583e-01,1.272605866558460086e+00,3.829478517560650719e+00
8.363306495662491402e-01,8.824188939718038416e-01,3.887896462396843722e-01,6.634000439366974922e-01,2.100316039309051863e+00,4.875149662427312514e+00
2.280633791315390679e-01,7.369118556003367848e-01,4.742858327356891390e-02,5.410924948718786043e-01,1.251145141639488312e+00,3.936393098752636099e+00
7.598172630952582107e-01,9.918897629274169292e-01,1.769153954072700818e-01,4.237076180099005329e-01,1.792898851763458090e+00,4.517394271333071920e+00
8.976878017151154188e-01,3.506862710004453598e-01,7.108610148120775296e-01,3.991084615265797497e-01,1.724673822480135676e+00,4.361319392656660021e+00
9.636035866224853530e-01,3.293859751314901496e-01,9.117261908733335085e-01,5.232812270181949055e-01,2.014010456975908081e+00,4.631320028342202910e+00
5.008701697949531351e-01,3.715971565202844662e-01,1.455781259559778551e-01,7.262767487922016096e-01,1.253479649878314062e+00,4.128410894091959271e+00
1.365359689242863217e-01,9.807938934143981546e-01,3.430387076224830079e-01,2.991340496203035437e-01,1.553480356454867817e+00,3.949383560154029471e+00
3.145998899361823753e-01,4.555740738081293095e-01,4.298184046718805940e-01,4.764630586991670524e-01,1.340914862975368438e+00,3.906896339598855405e+00
8.319483828222681288e-01,7.139467380393254015e-01,9.548056281263223033e-01,5.792143643861381586e-01,2.401035313016596451e+00,4.930187971109819323e+00
2.527443526110650929e-02,9.183965715010741215e-01,8.143405787050964628e-01,5.248889267914111922e-01,2.040937540029443387e+00,4.324201234335938615e+00
6.243521039622412783e-02,5.711148365941097760e-01,9.710234788751190838e-01,9.619913137053714980e-02,1.565960291446968355e+00,3.667312828024483551e+00
1.603984836752752052e-01,9.278175511642940965e-01,5.981873675827965586e-01,6.778070974691264849e-01,2.016985728390458643e+00,4.507880926828358170e+00
5.250343768497121033e-01,2.241926438071630834e-01,4.263160633023065360e-01,1.242185429255477924e-01,9.581023597514881640e-01,3.475959411251896114e+00
2.328659328705483533e-01,5.528195962764073101e-01,4.661474264936908973e-01,3.669880673879845068e-01,1.351249772834491436e+00,3.817082630584612168e+00
1.524552543225941026e-01,7.177728807248417997e-02,9.248830646426126068e-01,2.736025947074394171e-02,1.039609934224707821e+00,3.226099103539398882e+00
3.923353520472809830e-01,2.034223794974353572e-01,3.399276568609422844e-01,6.344657207355407502e-01,1.161155317260051056e+00,3.896837476832600178e+00
7.698312312768279542e-01,2.622598824116456617e-01,2.451975290920681561e-01,2.305536951676823154e-01,1.017830151830109386e+00,3.714438098871607696e+00
2.445554036020127775e-01,4.429364182169432951e-01,1.131512512690646677e-02,7.024281870176917186e-01,1.056458313913073432e+00,3.878518173093552956e+00
3.227179179502522866e-01,4.612954099345286663e-01,2.952298271974811428e-01,8.105544336684732398e-01,1.455762475443911574e+00,4.230849610863301358e+00
3.848966014888210996e-01,2.073959804891740699e-01,2.445252184291848430e-01,9.533332843718372862e-01,1.291232644407952934e+00,4.217304838556252378e+00
5.852621253639336274e-01,9.706812941252668248e-01,7.087908583206480317e-01,4.161947295992951545e-03,1.898274626157484102e+00,4.148391799416688563e+00
7.194633949467563738e-01,1.199053724680543276e-02,5.611709974412386615e-01,7.971261277627188502e-01,1.450749836137543269e+00,4.310541500386127822e+00
9.547510196911827007e-01,1.052070039385569755e-01,5.595566758048904354e-01,6.917548121880758849e-01,1.577469181830044587e+00,4.440835714387238120e+00
6.357776847442840884e-01,3.147577320894046071e-01,7.850640492810072590e-01,9.646190209223676204e-01,2.030481613220832759e+00,4.810895114405393080e+00
5.581165401092441636e-01,8.223639022683969513e-01,7.998127338491284322e-01,4.981262349715581683e-01,2.172306168037597462e+00,4.646834580343925936e+00
7.611211237353159298e-01,5.137132644714133001e-01,5.838666305667601364e-01,1.748101187040830284e-01,1.541767573181312523e+00,4.030139742049427376e+00
3.524400567387645511e-01,1.151252727997071901e-01,2.138029876079396985e-01,9.300512428958302991e-01,1.144136598614642564e+00,4.070446691403158290e+00
1.025830173303595716e-01,9.285045480808981067e-01,9.677853103577088723e-01,5.946249740892800562e-01,2.281724751488096725e+00,4.565942290199671127e+00
8.766570626512729669e-01,8.259621806626894491e-01,1.098299853766137035e-01,5.362641782120828315e-01,1.713611036583222003e+00,4.535460213479502123e+00
1.790773441553580314e-01,6.341851155836789600e-01,7.521874282909511988e-01,2.848616587743674211e-01,1.611314558557089383e+00,3.893447609303659185e+00
4.452185780993980213e-01,1.443442129923155903e-01,9.346575800559522307e-01,2.581011454391241022e-01,1.415990087283615306e+00,3.778330409313491955e+00
1.050481832521799053e-02,3.320368070855578280e-01,7.173570180788518824e-01,4.431647089893235858e-01,1.319302126120398322e+00,3.676318402399501473e+00
8.858881607975021000e-01,6.397973512444554700e-02,7.820900591109264388e-01,3.860382084454236917e-01,1.495814330912343948e+00,4.109783197779649733e+00
7.702697492222301268e-01,5.870536526785168352e-01,2.502896021274952920e-01,8.678752249046646217e-01,1.792827482674649975e+00,4.730066681038725740e+00
