x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
9.593568774713623348e-01,9.593568774713623348e-01,9.593568774713623348e-01,3.437269460627054296e-01,5.240832848861689541e-01,5.377678098627669545e-01,4.355982373315594458e-01,8.319992675123722981e-01,1.532470138958165196e-01,5.015773443224014194e-03,2.893944739192562121e-01
6.169694973800557980e-01,6.169694973800557980e-01,6.169694973800557980e-01,2.873755664934631859e-01,5.138436770823823219e-01,4.977751059836076353e-01,4.527324425439505640e-01,9.146092924707202032e-01,3.673898430848302477e-01,4.444730037317425886e-01,-2.775737544623959052e-01
9.959405286410775160e-01,9.959405286410775160e-01,9.959405286410775160e-01,1.072941157698177606e-01,9.710649637448670601e-02,1.467508431479217779e-01,1.364137680256677365e-01,6.359264753607346554e-01,5.352094967575848905e-01,8.994571264277781975e-01,-5.130968352510418828e-01
8.217315510338030204e-01,8.217315510338030204e-01,8.217315510338030204e-01,2.025577601572744468e-01,3.295042600149480361e-01,3.594712831624627958e-01,2.814528800232854455e-01,1.062634107934682381e-01,4.793270123829801443e-01,2.562712639779454182e-01,-1.823527676861710356e-01
3.024226851976510311e-01,3.024226851976510311e-01,3.024226851976510311e-01,1.845637643369260339e-01,2.702629451926906734e-01,2.933851450388508253e-01,2.638663356134193783e-01,3.786298113578648872e-01,7.402414507141340527e-01,4.685893106739905667e-01,-6.251174655063604924e-01
3.763453006204076079e-02,3.763453006204076079e-02,3.763453006204076079e-02,3.377940385102565224e-01,6.151166425534336790e-01,5.676440346709670237e-01,5.899545946413122799e-01,6.483098287239444923e-01,6.158611048701634338e-02,5.618507758979690569e-01,-2.561660142406813057e-02
5.481165429454344373e-01,5.481165429454344373e-01,5.481165429454344373e-01,1.162623699858430226e-01,1.135916377966386254e-01,8.762936029057794007e-02,1.113856526171725647e-01,9.282435002465682095e-01,1.217473665458685961e-01,2.216275348582520399e-01,2.971713661939214268e-01
8.928267145223860446e-01,8.928267145223860446e-01,8.928267145223860446e-01,2.815513504221707763e-01,4.166810743648028947e-01,3.488415755851363431e-01,3.518005011277409166e-01,5.942204376019891710e-01,7.122185867471816367e-01,8.858758101945272134e-01,-3.704869744309302604e-01
7.426379903701605389e-01,7.426379903701605389e-01,7.426379903701605389e-01,3.462708026214987300e-01,5.014707617391468419e-01,4.614879452763875345e-01,4.730394477580656676e-01,1.541191052095649550e-01,7.541832475681270465e-01,6.159303740939937599e-01,-5.805071174436089443e-01
1.902749342841614233e-02,1.902749342841614233e-02,1.902749342841614233e-02,9.067541795408709526e-02,9.267384280244297945e-02,7.781907286416089864e-02,9.477031355644169319e-02,2.958777674471596564e-01,7.059323630372672520e-01,8.657413938375823070e-01,-4.159064460498911320e-01
4.769046758010099252e-01,4.769046758010099252e-01,4.769046758010099252e-01,3.299186731295243313e-01,4.827149409811326564e-01,4.268433024486328886e-01,3.893677093660466992e-01,4.432866035602864851e-01,7.335681179299489152e-01,4.574809092323104398e-01,-4.467841767882440029e-01
1.083173821525644787e-01,1.083173821525644787e-01,1.083173821525644787e-01,1.806226907252364566e-01,2.710824461027742660e-01,2.019419584062422390e-01,2.044233595339072784e-01,2.885131167177851230e-01,9.555745619796426338e-01,1.907850112545838028e-01,-3.541828872510711657e-01
2.426188922896646005e-01,2.426188922896646005e-01,2.426188922896646005e-01,4.217403027622877998e-01,6.705492333075278033e-01,6.069032005743332236e-01,5.537840681858791081e-01,7.888699838427597477e-01,7.697740537758515078e-01,8.379631630783342944e-01,-7.909552339630161466e-01
3.309630830189184136e-01,3.309630830189184136e-01,3.309630830189184136e-01,1.202623839556695023e-01,1.055043229233407209e-01,6.697041645198048565e-02,1.014302439211980655e-01,5.462738650464511458e-01,7.859120581692805585e-01,3.184969000704273023e-01,-4.943393333442216986e-01
