Vendor,Address,Second Address,City,Zip Code,County,Location
STATER BROS. #038,E 1230 MCFADDEN AVE,,SANTA ANA,92705,ORANGE,"(33.732219, -117.85598)"
STATER BROS. #186,2687 GATEWAY RD,,CARLSBAD,92009,SAN DIEGO,"(33.126631, -117.2519)"
STATER BROS. #172,25900 IRIS AVE,,MORENO VALLEY,92551,RIVERSIDE,"(33.89137, -117.20858)"
STATER BROS. #124,24336 EL TORO RD,,LAGUNA HILLS,92653,ORANGE,"(33.608268, -117.73128)"
STATER BROS. #033,2603 WESTMINSTER AVE,,SANTA ANA,92706,ORANGE,"(33.760486, -117.90469)"
STATER BROS. #115,3420 LA SIERRA AVE,,RIVERSIDE,92503,RIVERSIDE,"(33.897738, -117.47356)"
STATER BROS. #036,E 161 40TH ST,,SAN BERNARDINO,92404,SAN BERNARDINO,"(34.163945, -117.28303)"
STATER BROS. #048,2090 FOOTHILL BLVD,,LA VERNE,91750,LOS ANGELES,"(34.112707, -117.76616)"
STATER BROS. #079,10370 ARLINGTON AVE,,RIVERSIDE,92505,RIVERSIDE,"(33.945944, -117.47927)"
STATER BROS. #058,E 3633 HIGHLAND AVE,,HIGHLAND,92346,SAN BERNARDINO,"(34.134801, -117.20796)"
STATER BROS. #027,8522 WESTMINSTER BLVD,,WESTMINSTER,92683,ORANGE,"(33.75839, -117.98041)"
98 PENNY DISCOUNT STORE #7,W 515 VALENCIA DR,STE A,FULLERTON,92832,ORANGE,"(33.86735, -117.93348)"
98TH DISCOUNT MARKET,S 9814 FIGUEROA ST,,LOS ANGELES,90003,LOS ANGELES,"(33.946743, -118.28223)"
STATER BROS. #120,58060 TWENTYNINE PALMS HWY,,YUCCA VALLEY,92284,SAN BERNARDINO,"(34.128063, -116.39667)"
STATER BROS. #188,22201 BARTON RD,,GRAND TERRACE,92313,SAN BERNARDINO,"(34.032859, -117.32049)"
STATER BROS. #109,N 800 CHINA LAKE BLVD,,RIDGECREST,93555,KERN,"(35.635051, -117.66845)"
STATER BROS. #015,14212 MULBERRY ST,,WHITTIER,90604,LOS ANGELES,"(33.941601, -118.02759)"
STATER BROS. #145,37218 47TH ST E,,PALMDALE,93552,LOS ANGELES,"(34.559404, -118.04398)"
STATER BROS. #030,W 3430 LINCOLN AVE,,ANAHEIM,92801,ORANGE,"(33.830974, -118.00966)"
STATER BROS. #059,W 1105 PHILADELPHIA AVE,,ONTARIO,91761,SAN BERNARDINO,"(34.033445, -117.55659)"
ABC MINI MARKET,1331 KENDALL DR,SUITE 8,SAN BERNARDINO,92407,SAN BERNARDINO,"(34.168135, -117.31476)"
ABC NUTRITIONAL CARE,1505 17TH ST,STE 1A,SAN BERNARDINO,92411,SAN BERNARDINO,"(34.130469, -117.31837)"
ABC NUTRITIONAL CARE,E 1460 HOLT AVE,STE 6,POMONA,91767,LOS ANGELES,"(34.061408, -117.72072)"
ABC NUTRITIONAL CARE,1023 PALMDALE BLVD,,PALMDALE,93550,LOS ANGELES,"(34.579633, -118.11104)"
STATER BROS. #018,E 11 COLTON AVE,,REDLANDS,92373,SAN BERNARDINO,"(34.063478, -117.18194)"
STATER BROS. #005,N 8228 SIERRA AVE,,FONTANA,92335,SAN BERNARDINO,"(34.104273, -117.43661)"
ADLONG MEAT MARKET,W 1550 ADAMS BLVD,,LOS ANGELES,90007,LOS ANGELES,"(34.03221, -118.29627)"
ADVANCE FOOD MARKET,W 5469 ADAMS BLVD,,LOS ANGELES,90016,LOS ANGELES,"(34.03274, -118.36204)"
STATER BROS. #125,11365 BRYANT ST,,YUCAIPA,92399,SAN BERNARDINO,"(34.047464, -117.03307)"
STATER BROS. #088,11070 LIMONITE AVE,,MIRA LOMA,91752,RIVERSIDE,"(33.974743, -117.52465)"
STATER BROS. #014,5571 MISSION BLVD,,RUBIDOUX,92509,RIVERSIDE,"(33.997232, -117.40584)"
STATER BROS. #178,12253 APPLE VALLEY RD,,APPLE VALLEY,92308,SAN BERNARDINO,"(34.474025, -117.24085)"
STATER BROS. #083,27160 SUN CITY BLVD,,SUN CITY,92586,RIVERSIDE,"(33.711429, -117.19269)"
STATER BROS. #170,2243 EAGLE GLEN PKWY,,CORONA,92883,RIVERSIDE,"(33.822852, -117.52297)"
STATER BROS. #096,57075 TWENTYNINE PALMS HWY,,YUCCA VALLEY,92284,SAN BERNARDINO,"(34.121351, -116.41834)"
STATER BROS. #080,17050 VAN BUREN BLVD,,RIVERSIDE,92504,RIVERSIDE,"(33.883751, -117.36534)"
STATER BROS. #071,1155 CALIMESA BLVD,,CALIMESA,92320,RIVERSIDE,"(33.995806, -117.057)"
HEALTHY FAMILY NUTRITION,10130 MAIN ST,STE C,LAMONT,93241,KERN,"(35.262871, -118.91482)"
STATER BROS. #153,E 8640 ALONDRA BLVD,,PARAMOUNT,90723,LOS ANGELES,"(33.888676, -118.15088)"
STATER BROS. #078,9750 NINETEENTH ST,,RANCHO CUCAMONGA,91730,SAN BERNARDINO,"(34.132738, -117.59268)"
STATER BROS. #183,67800 VISTA CHINO,,CATHEDRAL CITY,92234,RIVERSIDE,"(33.845904, -116.47793)"
STATER BROS. #159,10051 VALLEY VIEW AVE,,CYPRESS,90630,ORANGE,"(33.816074, -118.02917)"
STATER BROS. #130,E 2535 AVENUE S,,PALMDALE,93550,LOS ANGELES,"(34.559079, -118.08364)"
STATER BROS. #012,E 571 FOOTHILL BLVD,,RIALTO,92376,SAN BERNARDINO,"(34.105593, -117.36013)"
STATER BROS. #086,E 1661 6TH ST,,BEAUMONT,92223,RIVERSIDE,"(33.928524, -116.94952)"
STATER BROS. #107,977 KENDALL DR,,SAN BERNARDINO,92407,SAN BERNARDINO,"(34.163244, -117.3057)"
STATER BROS. #054,1025 AMAR ST,,WEST COVINA,91790,LOS ANGELES,"(34.027652, -117.8955)"
STATER BROS. #097,15757 MAIN ST,,HESPERIA,92345,SAN BERNARDINO,"(34.422787, -117.3192)"
STATER BROS. #138,31813 TEMECULA PKWY,,TEMECULA,92592,RIVERSIDE,"(33.479031, -117.10212)"
SUPER CARNICERIA LA CHIQUIT,N 1635 BROADWAY,,SANTA MARIA,93454,SANTA BARBARA,"(34.969054, -120.4364)"
STATER BROS. #110,21602 BEAR VALLEY RD,,APPLE VALLEY,92308,SAN BERNARDINO,"(34.47284, -117.19223)"
STATER BROS. #091,42171 BIG BEAR BLVD,,BIG BEAR LAKE,92315,SAN BERNARDINO,"(34.253379, -116.88426)"
STATER BROS. #152,E 1330 MISSION RD,,SAN MARCOS,92069,SAN DIEGO,"(33.13689, -117.12953)"
STATER BROS. #194,N 1023 GRAND AVE,,COVINA,91724,LOS ANGELES,"(34.09791, -117.87359)"
STATER BROS. #113,W 47 NUEVO RD,,PERRIS,92570,RIVERSIDE,"(33.800308, -117.22695)"
STATER BROS. #017,S 9954 SIERRA AVE,,FONTANA,92335,SAN BERNARDINO,"(34.073271, -117.43677)"
STATER BROS. #189,32281 MISSION TRAIL RD,,LAKE ELSINORE,92530,RIVERSIDE,"(33.653236, -117.29771)"
STATER BROS. #002,E 444 BASELINE AVE,,SAN BERNARDINO,92404,SAN BERNARDINO,"(34.121323, -117.27317)"
STATER BROS. #102,16920 HIGHWAY 14,,MOJAVE,93501,KERN,"(35.068163, -118.17377)"
STATER BROS. #067,E 19756 COLIMA RD,,ROWLAND HEIGHTS,91748,LOS ANGELES,"(33.986236, -117.87014)"
STATER BROS. #092,28100 STATE HIGHWAY 189,,LAKE ARROWHEAD,92352,SAN BERNARDINO,"(34.249971, -117.19035)"
STATER BROS. #180,N 1271 STATE ST,,SAN JACINTO,92583,RIVERSIDE,"(33.804253, -116.97068)"
STATER BROS. #146,W 2845 AVENUE L,,LANCASTER,93536,LOS ANGELES,"(34.661196, -118.18248)"
STATER BROS. #090,7770 LIMONITE AVE,,RIVERSIDE,92509,RIVERSIDE,"(33.976981, -117.45199)"
STATER BROS. #175,15222 SUMMIT AVE,,FONTANA,92336,SAN BERNARDINO,"(34.151239, -117.47495)"
STATER BROS. #143,26892 LA PAZ RD,,ALISO VIEJO,92656,ORANGE,"(33.572006, -117.70609)"
STATER BROS. #025,2180 NEWPORT BLVD,,COSTA MESA,92627,ORANGE,"(33.650908, -117.90854)"
STATER BROS. #046,E 210 STETSON AVE,,HEMET,92543,RIVERSIDE,"(33.731109, -116.96998)"
STATER BROS. #149,616 CAMINO DE LOS MARES,,SAN CLEMENTE,92673,ORANGE,"(33.45919, -117.65358)"
